DETAIL_LAB_PROCEDURE_ID,n_valid_patients,abnormal_rate_patients,abnormal_rate_patients_pos,abnormal_rate_patients_neg,delta_abnormal_pat,rr_abnormal_pat,lab_score_pat,n_patients_with_lab,n_encounters_with_lab,LAB_PROCEDURE_NAME,LAB_PROCEDURE_GROUP,LAB_SUPER_GROUP,LOINC_CODE
775,1424.0,0.1053370786516853,0.3333333333333333,0.1004304160688665,0.2329029172644668,3.319047619047621,1.691324004852339,1442.0,1459.0,Herpes simplex 2 Antibody IgM,Herpes Test,Pathogen Specific Test,7913-7
11975,1668.0,0.7595923261390888,0.5357142857142857,0.7634146341463415,-0.2277003484320557,0.7017343678685531,1.6895320139766583,1668.0,1802.0,Calcium Ionized Quantitative Serum or Plasma,Calcium Test,General Test,17863-2
6820,273.0,0.2014652014652014,0.5,0.1992619926199262,0.3007380073800738,2.5092592592592595,1.6880809618842354,519.0,521.0,Glutamate decarboxylase 65 Antibody Quantitative Serum,General Test,General Test,13926-1
2020,201.0,0.4079601990049751,0.7142857142857143,0.3969072164948453,0.317378497790869,1.7996289424860856,1.6847300276729895,201.0,205.0,Aspergillus fumigatus Antibody IgG Quantitative,Aspergillus Test,Pathogen Specific Test,26954-8
2729,10353.0,0.088186998937506,0.2625,0.0811815533005124,0.1813184466994876,3.2334931930693074,1.6763122843014158,10353.0,10533.0,Hepatitis C Antibody EIA Index,Hepatitis C Test,Pathogen Specific Test,5198-7
1553,46220.0,0.2736261358719169,0.4256017505470459,0.2705601907032181,0.1550415598438278,1.573039069202518,1.6653307776426771,46397.0,60898.0,Total CK,CK Test,General Test,2157-6
6985,166.0,0.6807228915662651,1.0,0.6748466257668712,0.3251533742331288,1.481818181818182,1.664132957411583,361.0,361.0,"Islet Cell 512 Antibody, Serum Quantitative",General Test,General Test,31209-0
20168,15116.0,0.1884096321778248,0.358744394618834,0.1858591284496072,0.1728852661692268,1.9301951839083435,1.6637743629509063,15116.0,15381.0,Gamma interferon background Units/volume Blood Immunoassay,Mycobacterium Tb Test,Pathogen Specific Test,71776-9
979,762.0,0.2506561679790026,0.5,0.2493403693931398,0.2506596306068602,2.0052910052910056,1.663692646364178,847.0,858.0,Dopamine Level,Medication Test,General Test,2216-0
7884,191.0,0.193717277486911,0.5,0.1837837837837838,0.3162162162162162,2.7205882352941173,1.6625052933168931,732.0,743.0,Tissue Transglutaminase Antibody IgG Quantitative Serum,General Test,General Test,32998-7
2152,101.0,0.3465346534653465,0.0,0.3571428571428571,-0.3571428571428571,0.0,1.651776004744382,101.0,103.0,Streptococcus pneumoniae Antibody IgG Type 7F,Strep pneumo Test,Pathogen Specific Test,22551-6
15425,202.0,0.6336633663366337,0.9230769230769232,0.6137566137566137,0.3093203093203095,1.503978779840849,1.6434825169197236,204.0,204.0,Clot Formation Time Blood Thromboelastography,General Test,General Test,52768-9
1536,2430.0,0.2102880658436214,0.0,0.2103746397694524,-0.2103746397694524,0.0,1.640092887968521,2430.0,2580.0,Respiratory Therapy Oximetry,Respiratory Test,Respiratory Test,
7868,257.0,0.2918287937743191,0.0,0.29296875,-0.29296875,0.0,1.6268436283950052,390.0,423.0,Threonine Quantitative Serum or Plasma,General Test,General Test,20658-1
2741,195.0,0.0307692307692307,0.3333333333333333,0.0260416666666666,0.3072916666666667,12.800000000000033,1.6219206504927115,195.0,197.0,Hepatitis E Antibody (Anti HEV) Quantitative,Hepatitis E Test,Pathogen Specific Test,51459-6
6604,664.0,0.2454819277108433,0.0,0.2492354740061162,-0.2492354740061162,0.0,1.619977504016673,715.0,734.0,Corticotropin Quantitative Plasma,General Test,General Test,2141-0
1654,1235.0,0.2267206477732793,0.0,0.227088402270884,-0.227088402270884,0.0,1.6167866817882708,1674.0,1698.0,"Glucose, Unknown Specimen 1 hr","Glucose Test, Unk Spec",General Test,
2153,104.0,0.3365384615384615,0.0,0.3465346534653465,-0.3465346534653465,0.0,1.6127585371833,104.0,105.0,Streptococcus pneumoniae Antibody IgG Type 9N,Strep pneumo Test,Pathogen Specific Test,22558-1
6759,5500.0,0.6318181818181818,0.8160919540229885,0.6288564566783669,0.1872354973446216,1.2977396436916675,1.612600391815985,5500.0,5697.0,Fibrin D-dimer FEU Quantitative Platelet Poor Plasma,Coagulation Test,General Test,48065-7
23184,257.0,0.2801556420233463,0.0,0.2903225806451613,-0.2903225806451613,0.0,1.6121495569127278,257.0,262.0,Escherichia coli DNA Presence Target Amp w Non Probe Based Detection Positive Blood Culture,E Coli Test,Pathogen Specific Test,85773-0
864,248837.0,0.4649188022681514,0.3379980563654033,0.4675984439374292,-0.1296003875720259,0.7228382830346456,1.6102274494358162,251734.0,277576.0,Calcium Ionized,Calcium Test,General Test,1995-0
2151,119.0,0.3277310924369748,0.0,0.3362068965517241,-0.3362068965517241,0.0,1.6095877411077566,119.0,121.0,Streptococcus pneumoniae Antibody IgG Type 3,Strep pneumo Test,Pathogen Specific Test,22549-0
17279,7491.0,0.4856494460018689,0.3088235294117647,0.4889191026512576,-0.1800955732394928,0.6316454557351306,1.6067390568008917,7491.0,8903.0,Blood Gas Oxygen Content Blood,Blood Gas Test,Blood Gas Test,34163-6
