rank,feature,mean_abs_shap,DIAGNOSIS_DESCRIPTION
412,T45,0.0004215747467242,"Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified"
413,C43,0.0004204616998322,Malignant melanoma of skin
414,I87,0.0004169729363638,Other disorders of veins
415,E28,0.0004158219671808,Ovarian dysfunction
416,Q67,0.0004138021904509,"Congenital musculoskeletal deformities of head, face, spine and chest"
417,I97,0.0004074264143127,"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified"
418,F69,0.0004069296701345,Unspecified disorder of adult personality and behaviour
419,O72,0.0004040098283439,Postpartum hemorrhage
420,G35,0.000395688926801,Multiple sclerosis
421,S33,0.0003947436925955,Dislocation and sprain of joints and ligaments of lumbar spine and pelvis
422,J36,0.0003946023352909,Peritonsillar abscess
423,J84,0.0003939527086913,Other interstitial pulmonary diseases
424,J33,0.0003937295114155,Nasal polyp
425,Q89,0.0003924749034922,"Other congenital malformations, not elsewhere classified"
426,M66,0.0003909295483026,Spontaneous rupture of synovium and tendon
427,S36,0.0003906763449776,Injury of intra-abdominal organs
428,F60,0.000389751541661,Specific personality disorders
429,N90,0.0003802730643656,Other noninflammatory disorders of vulva and perineum
430,J05,0.0003796707896981,Acute obstructive laryngitis [croup] and epiglottitis
431,C83,0.0003794080403167,Non-follicular lymphoma
432,Z41,0.0003783893771469,Encounter for procedures for purposes other than remedying health state
433,I33,0.000376130308723,Acute and subacute endocarditis
434,L90,0.0003760916588362,Atrophic disorders of skin
435,Q25,0.0003751046315301,Congenital malformations of great arteries
436,N21,0.0003750535543076,Calculus of lower urinary tract
437,M99,0.0003747969167307,"Biomechanical lesions, not elsewhere classified"
438,N29,0.000372125825379,Other disorders of kidney and ureter in diseases classified elsewhere
439,V87,0.0003694754268508,Traffic accident of specified type but victim's mode of transport unknown
440,K59,0.0003692395403049,Other functional intestinal disorders
441,S39,0.0003646728291641,"Other and unspecified injuries of abdomen, lower back, pelvis and external genitals"
442,C53,0.0003619890776462,Malignant neoplasm of cervix uteri
443,T07,0.000361021986464,Unspecified multiple injuries
444,R17,0.0003600882191676,Unspecified jaundice
445,K62,0.0003595779126044,Other diseases of anus and rectum
446,T63,0.0003571038832888,Toxic effect of contact with venomous animals and plants
447,S68,0.0003524310013744,"Traumatic amputation of wrist, hand and fingers"
448,B17,0.0003523574559949,Other acute viral hepatitis
449,D34,0.0003508105583023,Benign neoplasm of thyroid gland
450,R32,0.0003407507610972,Unspecified urinary incontinence
451,H92,0.0003392469952814,Otalgia and effusion of ear
452,V80,0.0003374360967427,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
453,R80,0.000333347794367,Proteinuria
454,D21,0.0003319605311844,Other benign neoplasms of connective and other soft tissue
455,I85,0.0003306542348582,Esophageal varices
456,Q27,0.0003279421653132,Other congenital malformations of peripheral vascular system
457,O47,0.000322976760799,False labor
